,model,plddt,percentile,plddt_norm,percentile_norm
63,default_uniclust30_3,0.77695423,0.38620689655172413,0.7769542336463928,0.38620689655172413
64,default_uniclust30_4,0.7699927,0.31724137931034485,0.7699927091598511,0.31724137931034485
65,default_uniclust30_5,0.7667135,0.296551724137931,0.7667135000228882,0.296551724137931
66,default_uniclust30_6,0.7617699,0.2689655172413793,0.7617698907852173,0.2689655172413793
67,default_uniclust30_7,0.75852567,0.25517241379310346,0.7585256695747375,0.25517241379310346
68,default_uniclust30_8,0.75312823,0.18620689655172415,0.7531282305717468,0.18620689655172415
69,default_uniclust30_9,0.75282013,0.1793103448275862,0.7528201341629028,0.1793103448275862
70,default_uniref30_22_0,0.78959274,0.6275862068965518,0.7895927429199219,0.6275862068965518
71,default_uniref30_22_1,0.74415576,0.11724137931034483,0.744155764579773,0.11724137931034483
72,default_uniref30_22_2,0.7513038,0.1724137931034483,0.7513037919998169,0.1724137931034483
73,default_uniref30_22_3,0.75028956,0.15862068965517243,0.7502895593643188,0.15862068965517243
74,default_uniref30_22_4,0.7354322,0.041379310344827586,0.7354322075843811,0.041379310344827586
75,default_uniref30_22_5,0.7363336,0.05517241379310345,0.7363336086273193,0.05517241379310345
76,default_uniref30_22_6,0.74589676,0.1310344827586207,0.7458967566490173,0.1310344827586207
77,default_uniref30_22_7,0.73739874,0.06206896551724138,0.7373987436294556,0.06206896551724138
78,default_uniref30_22_8,0.74818164,0.14482758620689656,0.7481816411018372,0.14482758620689656
79,default_uniref30_22_9,0.73851556,0.07586206896551724,0.7385155558586121,0.07586206896551724
80,default_uniref30_22_10,0.7311247,0.0,0.7311246991157532,0.0
81,default_uniref30_22_11,0.7335641,0.020689655172413793,0.7335640788078308,0.020689655172413793
82,default_uniref30_22_12,0.74419147,0.12413793103448276,0.7441914677619934,0.12413793103448276
83,default_uniref30_22_13,0.7459955,0.13793103448275862,0.7459955215454102,0.13793103448275862
84,default_uniref30_22_14,0.73490626,0.027586206896551724,0.7349062561988831,0.027586206896551724
85,default_uniref30_22_15,0.74377495,0.1103448275862069,0.743774950504303,0.1103448275862069
86,default_uniref30_22_16,0.7326029,0.013793103448275862,0.7326028943061829,0.013793103448275862
87,default_uniref30_22_17,0.7401701,0.0896551724137931,0.7401701211929321,0.0896551724137931
88,default_uniref30_22_18,0.7392543,0.08275862068965517,0.7392542958259583,0.08275862068965517
89,default_uniref30_22_19,0.73521966,0.034482758620689655,0.7352196574211121,0.034482758620689655
90,default_uniref30_22_20,0.7427643,0.10344827586206896,0.7427642941474915,0.10344827586206896
91,default_uniref30_22_21,0.7377663,0.06896551724137931,0.7377663254737854,0.06896551724137931
92,default_uniref30_22_22,0.73555344,0.04827586206896552,0.7355534434318542,0.04827586206896552
93,default_uniref30_22_23,0.7536769,0.19310344827586207,0.7536768913269043,0.19310344827586207
94,default_uniref30_22_24,0.73161197,0.006896551724137931,0.731611967086792,0.006896551724137931
95,unidist_uniprot_img_0,0.7777079,0.4,0.7777078747749329,0.4
96,unidist_uniprot_img_1,0.76047146,0.2620689655172414,0.7604714632034302,0.2620689655172414
97,unidist_uniprot_img_2,0.7880077,0.5724137931034483,0.7880076766014099,0.5724137931034483
98,unidist_uniprot_img_3,0.7769035,0.3793103448275862,0.776903510093689,0.3793103448275862
99,unidist_uniprot_img_4,0.76291806,0.2827586206896552,0.7629180550575256,0.2827586206896552
100,unidist_uniprot_img_5,0.75075823,0.16551724137931034,0.7507582306861877,0.16551724137931034
101,unidist_uniprot_img_6,0.75484306,0.2206896551724138,0.7548430562019348,0.2206896551724138
102,unidist_uniprot_img_7,0.75385386,0.2,0.7538538575172424,0.2
103,unidist_uniprot_img_8,0.75480634,0.21379310344827587,0.7548063397407532,0.21379310344827587
104,unidist_uniprot_img_9,0.7575039,0.2482758620689655,0.7575039267539978,0.2482758620689655
105,unidist_uniprot_sto_0,0.799605,0.7724137931034483,0.7996050119400024,0.7724137931034483
106,unidist_uniprot_sto_1,0.7955596,0.7103448275862069,0.7955595850944519,0.7103448275862069
107,unidist_uniprot_sto_2,0.7852433,0.5103448275862069,0.7852432727813721,0.5103448275862069
108,unidist_uniprot_sto_3,0.7991011,0.7586206896551724,0.7991011142730713,0.7586206896551724
109,unidist_uniprot_sto_4,0.7712471,0.3310344827586207,0.7712470889091492,0.3310344827586207
110,unidist_uniprot_sto_5,0.7892897,0.6068965517241379,0.7892897129058838,0.6068965517241379
111,unidist_uniprot_sto_6,0.77588516,0.36551724137931035,0.7758851647377014,0.36551724137931035
112,unidist_uniprot_sto_7,0.77528244,0.3586206896551724,0.7752824425697327,0.3586206896551724
113,unidist_uniprot_sto_8,0.7761147,0.3724137931034483,0.7761147022247314,0.3724137931034483
114,unidist_uniprot_sto_9,0.75443774,0.20689655172413793,0.7544377446174622,0.20689655172413793
115,default_img_0,0.8200595,0.896551724137931,0.8200594782829285,0.896551724137931
116,default_img_1,0.80824953,0.8758620689655172,0.8082495331764221,0.8758620689655172
117,default_img_2,0.807338,0.8620689655172413,0.8073379993438721,0.8620689655172413
118,default_img_3,0.79170525,0.6620689655172414,0.7917052507400513,0.6620689655172414
119,default_img_4,0.7995851,0.7655172413793103,0.7995851039886475,0.7655172413793103
120,default_img_5,0.7959451,0.7241379310344828,0.7959451079368591,0.7241379310344828
121,default_img_6,0.79875845,0.7448275862068966,0.7987584471702576,0.7448275862068966
122,default_img_7,0.8015497,0.7862068965517242,0.8015496730804443,0.7862068965517242
123,default_img_8,0.8017187,0.7931034482758621,0.8017187118530273,0.7931034482758621
124,default_img_9,0.798465,0.7379310344827587,0.7984650135040283,0.7379310344827587
125,default_pdb70_0,0.7838022,0.4827586206896552,0.7838022112846375,0.4827586206896552
126,default_pdb70_1,0.7831753,0.46206896551724136,0.7831752896308899,0.46206896551724136
127,default_pdb70_2,0.79124725,0.6482758620689655,0.7912472486495972,0.6482758620689655
128,default_pdb70_3,0.8081845,0.8689655172413793,0.8081845045089722,0.8689655172413793
129,default_pdb70_4,0.7939542,0.6896551724137931,0.7939541935920715,0.6896551724137931
130,default_pdb70_5,0.8163333,0.8896551724137931,0.8163332939147949,0.8896551724137931
131,default_pdb70_6,0.788796,0.593103448275862,0.7887960076332092,0.593103448275862
132,default_pdb70_7,0.7857025,0.5310344827586206,0.7857025265693665,0.5310344827586206
133,default_pdb70_8,0.80402005,0.8137931034482758,0.8040200471878052,0.8137931034482758
134,default_pdb70_9,0.7859978,0.5379310344827586,0.7859978079795837,0.5379310344827586
135,Elo_0,0.786254,0.5448275862068965,0.7862539887428284,0.5448275862068965
136,Elo_1,0.7850405,0.496551724137931,0.7850404977798462,0.496551724137931
137,Elo_2,0.7780671,0.4068965517241379,0.7780671119689941,0.4068965517241379
138,Elo_3,0.7875644,0.5586206896551724,0.7875643968582153,0.5586206896551724
139,Elo_4,0.779761,0.41379310344827586,0.779761016368866,0.41379310344827586
140,lewis_0,0.8049313,0.8344827586206897,0.8049312829971313,0.8344827586206897
141,lewis_1,0.8422916,0.9172413793103448,0.8422915935516357,0.9172413793103448
142,lewis_2,0.83951527,0.903448275862069,0.8395152688026428,0.903448275862069
143,lewis_3,0.8417513,0.9103448275862069,0.8417512774467468,0.9103448275862069
144,lewis_4,0.86275184,0.9241379310344827,0.862751841545105,0.9241379310344827
